City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Shingu,33.73,135.98,296.67,91,33,1.41,JP,2020-08-02 17:08:27
124,Kloulklubed,7.04,134.26,300.15,88,75,1.5,PW,2020-08-02 17:08:27
125,Cordele,31.96,-83.78,305.93,58,90,1.14,US,2020-08-02 17:08:27
126,Kahului,20.89,-156.47,297.15,69,40,6.7,US,2020-08-02 17:08:28
127,Myrtle Beach,33.69,-78.89,305.37,84,1,5.7,US,2020-08-02 17:06:32
128,Mahebourg,-20.41,57.7,294.15,73,75,7.7,MU,2020-08-02 17:08:28
129,Dikson,73.51,80.55,283.08,90,85,1.74,RU,2020-08-02 17:08:28
130,Cartagena,10.4,-75.51,307.15,71,20,2.1,CO,2020-08-02 17:07:02
131,Port Hardy,50.7,-127.42,288.15,93,90,2.5,CA,2020-08-02 17:08:29
132,Chuy,-33.7,-53.46,292.98,73,100,1.95,UY,2020-08-02 17:08:29
133,Krasnoselkup,65.7,82.47,287.95,86,7,3.01,RU,2020-08-02 17:08:29
134,Acapulco,16.86,-99.89,304.15,66,20,2.1,MX,2020-08-02 17:06:18
135,Vostok,46.49,135.88,290.65,99,94,1.13,RU,2020-08-02 17:08:29
136,Urumqi,43.8,87.6,302.15,28,96,6.0,CN,2020-08-02 17:08:30
137,Santa Ines,-3.67,-45.38,305.85,43,12,2.43,BR,2020-08-02 17:08:30
138,Aklavik,68.22,-135.01,283.15,100,90,2.6,CA,2020-08-02 17:08:30
139,East London,-33.02,27.91,295.35,37,0,3.94,ZA,2020-08-02 17:07:02
140,Saskylakh,71.92,114.08,289.13,63,85,1.36,RU,2020-08-02 17:08:30
141,Varhaug,58.61,5.65,285.93,96,93,2.68,NO,2020-08-02 17:08:30
142,Orange Park,30.17,-81.71,307.15,70,75,4.6,US,2020-08-02 17:08:31
143,Hasaki,35.73,140.83,294.26,100,75,2.1,JP,2020-08-02 17:08:31
144,Domasnea,45.08,22.32,294.96,65,16,0.96,RO,2020-08-02 17:08:31
145,Yanam,16.73,82.22,301.15,83,75,3.6,IN,2020-08-02 17:08:31
146,Sterling,39.01,-77.43,305.37,70,75,4.6,US,2020-08-02 17:04:00
147,Verkhnevilyuysk,63.45,120.32,286.21,69,0,1.06,RU,2020-08-02 17:08:32
148,Faanui,-16.48,-151.75,298.86,80,66,6.07,PF,2020-08-02 17:08:32
149,Divnomorskoye,44.5,38.14,293.8,66,40,3.22,RU,2020-08-02 17:08:32
150,Kodiak,57.79,-152.41,285.15,87,90,1.33,US,2020-08-02 17:07:28
151,Tual,-5.67,132.75,298.26,83,83,7.78,ID,2020-08-02 17:08:32
152,Jais,26.25,81.53,305.43,62,60,2.02,IN,2020-08-02 17:08:33
153,Altay,47.87,88.12,291.13,42,1,4.2,CN,2020-08-02 17:05:04
154,Saint George,37.1,-113.58,309.26,18,1,1.36,US,2020-08-02 17:06:48
155,Kalevala,65.2,31.17,287.3,73,69,1.68,RU,2020-08-02 17:08:34
156,Sidhi,24.42,81.88,303.17,69,85,1.87,IN,2020-08-02 17:08:35
157,Acajutla,13.59,-89.83,304.15,55,38,2.33,SV,2020-08-02 17:06:28
158,Hanna,51.63,-111.9,298.71,55,77,4.47,CA,2020-08-02 17:08:35
159,Saint Pete Beach,27.73,-82.74,307.59,74,40,5.7,US,2020-08-02 17:08:36
160,Namatanai,-3.67,152.43,299.58,82,73,3.29,PG,2020-08-02 17:08:37
161,Thinadhoo,0.53,72.93,301.69,76,98,4.95,MV,2020-08-02 17:08:37
162,Jumla,29.27,82.18,291.25,72,72,0.8,NP,2020-08-02 17:08:37
163,Nemuro,43.32,145.57,290.43,94,58,5.03,JP,2020-08-02 17:08:37
164,Vega De Alatorre,20.03,-96.63,303.22,65,21,2.88,MX,2020-08-02 17:08:38
165,Boyabat,41.47,34.77,295.15,78,75,2.1,TR,2020-08-02 17:08:38
166,San Borja,-14.82,-66.85,307.69,25,10,1.53,BO,2020-08-02 17:08:38
167,Pyra,56.3,43.35,289.26,82,75,2.0,RU,2020-08-02 17:08:38
168,Zonguldak,41.25,31.83,291.21,78,0,2.25,TR,2020-08-02 17:08:38
169,New Norfolk,-42.78,147.06,280.93,84,99,0.89,AU,2020-08-02 17:08:39
170,San Carlos De Bariloche,-41.15,-71.31,282.15,57,75,4.6,AR,2020-08-02 17:06:23
171,Avarua,-21.21,-159.78,287.15,100,97,0.5,CK,2020-08-02 17:08:39
172,Katsuura,35.13,140.3,298.15,92,38,2.64,JP,2020-08-02 17:08:39
173,Winneba,5.35,-0.62,299.15,74,23,7.7,GH,2020-08-02 17:08:40
174,Basi,26.83,76.03,304.15,66,40,5.66,IN,2020-08-02 17:08:40
175,Qostanay,53.17,63.58,302.15,28,0,4.0,KZ,2020-08-02 17:08:40
176,Clyde River,70.47,-68.59,286.15,76,1,2.1,CA,2020-08-02 17:08:40
177,Rio Grande,-32.03,-52.1,298.15,61,99,3.6,BR,2020-08-02 17:08:41
178,Aykhal,66.0,111.5,292.15,39,60,2.0,RU,2020-08-02 17:08:41
179,Jagtial,18.8,78.93,301.41,75,83,2.47,IN,2020-08-02 17:08:41
180,Sao Joao Da Barra,-21.64,-41.05,298.15,50,40,4.27,BR,2020-08-02 17:08:41
181,Xichang,27.9,102.26,293.04,77,94,1.42,CN,2020-08-02 17:08:42
182,Grindavik,63.84,-22.43,284.15,81,75,5.7,IS,2020-08-02 17:08:30
183,Arraial Do Cabo,-22.97,-42.03,297.15,57,40,4.6,BR,2020-08-02 17:08:42
184,Ancud,-41.87,-73.82,286.48,81,20,5.1,CL,2020-08-02 17:08:42
185,Inhambane,-23.86,35.38,294.15,64,75,4.1,MZ,2020-08-02 17:08:42
186,Guye,39.73,118.42,297.32,93,27,0.94,CN,2020-08-02 17:08:44
187,Beringovskiy,63.05,179.32,281.97,75,100,8.08,RU,2020-08-02 17:08:44
188,Sitka,57.05,-135.33,287.15,93,90,1.5,US,2020-08-02 17:08:45
189,Hithadhoo,-0.6,73.08,301.59,78,61,4.85,MV,2020-08-02 17:08:45
190,Trincomalee,8.57,81.23,300.98,74,100,9.89,LK,2020-08-02 17:08:45
191,Coihaique,-45.58,-72.07,280.15,70,75,1.5,CL,2020-08-02 17:08:46
192,Cabo San Lucas,22.89,-109.91,305.37,52,20,2.6,MX,2020-08-02 17:08:47
193,Geraldton,-28.77,114.6,284.15,93,75,2.6,AU,2020-08-02 17:08:47
194,Balti,47.76,27.93,298.15,29,0,1.5,MD,2020-08-02 17:08:47
195,Teya,60.38,92.63,286.52,68,4,0.27,RU,2020-08-02 17:08:47
196,Inongo,-1.95,18.27,299.17,55,92,0.31,CD,2020-08-02 17:08:48
197,Pimentel,-6.84,-79.93,290.15,82,90,2.1,PE,2020-08-02 17:08:48
198,Mount Isa,-20.73,139.5,283.15,57,0,3.55,AU,2020-08-02 17:08:48
199,Iqaluit,63.75,-68.51,283.15,81,75,2.1,CA,2020-08-02 17:08:49
200,Talnakh,69.49,88.4,291.15,59,97,3.0,RU,2020-08-02 17:08:49
201,Kudahuvadhoo,2.67,72.89,301.33,78,100,4.53,MV,2020-08-02 17:08:11
202,Kupang,-10.17,123.58,294.55,81,49,4.07,ID,2020-08-02 17:08:50
203,Samokov,42.33,23.55,298.71,63,15,0.45,BG,2020-08-02 17:08:50
204,Kununurra,-15.77,128.73,286.15,31,37,1.5,AU,2020-08-02 17:08:50
205,Codrington,-38.27,141.97,279.72,84,100,3.5,AU,2020-08-02 17:08:51
206,Vanimo,-2.67,141.3,297.98,83,42,1.32,PG,2020-08-02 17:08:00
207,Morro Bay,35.37,-120.85,298.71,41,0,2.84,US,2020-08-02 17:06:42
208,Aswan,24.09,32.91,312.55,23,63,5.52,EG,2020-08-02 17:08:52
209,Grafton,42.21,-71.69,302.04,57,20,5.7,US,2020-08-02 17:08:52
210,Emerald,-23.53,148.17,285.15,81,0,3.1,AU,2020-08-02 17:08:52
211,Omboue,-1.57,9.26,296.33,77,76,4.36,GA,2020-08-02 17:08:52
212,Bhawana,31.57,72.65,310.91,38,15,4.78,PK,2020-08-02 17:08:53
213,Glenluce,54.88,-4.81,286.48,86,46,0.89,GB,2020-08-02 17:08:53
214,Sayat,38.78,63.88,305.15,22,0,3.1,TM,2020-08-02 17:08:54
215,Yulara,-25.24,130.99,279.15,22,0,1.5,AU,2020-08-02 17:08:54
216,Coahuayana,18.73,-103.68,302.15,70,20,1.6,MX,2020-08-02 17:08:54
217,Mahibadhoo,3.78,72.97,301.49,79,100,5.8,MV,2020-08-02 17:07:32
218,Saskatoon,52.12,-106.63,298.71,49,40,4.6,CA,2020-08-02 17:04:49
219,Berlevag,70.86,29.09,283.15,87,75,5.1,NO,2020-08-02 17:08:56
220,San Patricio,19.22,-104.7,306.15,70,5,4.1,MX,2020-08-02 17:08:56
221,Mbalmayo,3.52,11.5,294.74,94,12,2.48,CM,2020-08-02 17:08:57
222,Bilma,18.69,12.92,311.15,22,70,2.64,NE,2020-08-02 17:07:58
223,Qianan,44.99,124.06,293.19,92,100,2.27,CN,2020-08-02 17:08:57
224,Ino,33.55,133.43,297.86,78,39,0.3,JP,2020-08-02 17:08:57
225,Dashitou,43.31,128.51,292.62,96,100,3.71,CN,2020-08-02 17:08:58
226,Faya,18.39,42.45,293.15,88,75,6.2,SA,2020-08-02 17:08:58
227,San Quintin,30.48,-115.95,298.54,60,0,3.07,MX,2020-08-02 17:08:58
228,Yanji,42.91,129.51,293.3,94,100,1.66,CN,2020-08-02 17:08:59
229,Mataram,-8.58,116.12,296.15,94,20,1.35,ID,2020-08-02 17:08:59
230,Boyolangu,-8.12,111.89,294.88,86,69,1.32,ID,2020-08-02 17:08:59
231,Elblag,54.15,19.41,298.71,44,43,3.1,PL,2020-08-02 17:06:33
232,Orange,33.7,-117.77,299.26,77,40,2.1,US,2020-08-02 17:08:59
233,Kotka,60.47,26.95,288.71,93,20,2.1,FI,2020-08-02 17:09:00
234,Cairns,-16.92,145.77,292.15,88,75,3.6,AU,2020-08-02 17:09:00
235,Guerrero Negro,27.98,-114.06,300.92,52,66,5.41,MX,2020-08-02 17:05:19
236,Thai Binh,20.45,106.33,300.15,94,75,1.5,VN,2020-08-02 17:09:01
237,Kungurtug,50.6,97.52,282.64,83,24,0.48,RU,2020-08-02 17:09:01
238,Cape Town,-33.93,18.42,290.37,67,0,4.1,ZA,2020-08-02 17:09:01
